"Original File","Publication_Place","CountryCode","752string","752a","752b","752d","752e",7524,"FAST_URI","Geonames_URI","geonames_ID","latitude","longitude"
"Alma Data","A Leide","ne","Netherlands$dLeiden,","Netherlands","no value","Leiden,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204927","http://sws.geonames.org/2751773",2751773,52.15833,4.49306
"Alma Data","A Leyden","ne","Netherlands$dLeiden,","Netherlands","no value","Leiden,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204927","http://sws.geonames.org/2751773",2751773,52.15833,4.49306
"Alma Data","A Liege ","be","Belgium$dLiège,","Belgium","no value","Liège,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1207176","http://sws.geonames.org/2792413",2792413,50.63373,5.56749
"Alma Data","A Lille","fr","France$dLille,","France","no value","Lille,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1209151 ","http://www.geonames.org/2998324",2998324,50.63297,3.05858
"Alma Data","A Lion","fr","France$dLyon,","France","no value","Lyon,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1214593","https://sws.geonames.org/2996944",2996944,45.74846,4.84671
"Alma Data","A Londres","enk","Great Britain$bEngland$dLondon,","Great Britain","England","London,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204271","http://sws.geonames.org/2643743",2643743,51.50853,-0.12574
"Alma Data","A Lyon","fr","France$dLyon,","France","no value","Lyon,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1214593","https://sws.geonames.org/2996944",2996944,45.74846,4.84671
"Alma Data","A Lyon","fr","France$dLyon,","France","no value","Lyon,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1214593","https://sws.geonames.org/2996944",2996944,45.74846,4.84671
"Alma Data","À Lyon","fr","France$dLyon,","France","no value","Lyon,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1214593","https://sws.geonames.org/2996944",2996944,45.74846,4.84671
"Alma Data","A Maestricht","ne","Netherlands$dMaastricht,","Netherlands","no value","Maastricht,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1202661","http://sws.geonames.org/2751283",2751283,50.84833,5.68889
"Alma Data","A Metz","fr","France$dMetz,","France","no value","Metz,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1206078","http://sws.geonames.org/2994160",2994160,49.11911,6.17269
"Alma Data","A Montbeliart","fr","France$dMontbéliard,","France","no value","Montbéliard,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1221368","http://sws.geonames.org/2992938",2992938,47.50957,6.79823
"Alma Data","A Montpellier","fr","France$dMontpellier,","France","no value","Montpellier,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1206641","http://sws.geonames.org/2992166",2992166,43.61092,3.87723
"Alma Data","A Montpellier ","fr","France$dMontpellier,","France","no value","Montpellier,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1206641","http://sws.geonames.org/2992166",2992166,43.61092,3.87723
"Alma Data","A Nancy","fr","France$dNancy,","France","no value","Nancy,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1206074","http://sws.geonames.org/2990999",2990999,48.68439,6.18496
"Alma Data","A Nismes","fr","France$dNîmes","France","no value","Nîmes","publication place.","publication place.","http://id.worldcat.org/fast/1211642 ","http://www.geonames.org/2990363",2990363,43.83378,4.35962
"Alma Data","A Paris","fr","France$dParis,","France","no value","Paris,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205283","http://sws.geonames.org/2988507",2988507,48.85341,2.3488
"Alma Data","A Paris","fr","France$dParis,","France","no value","Paris,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205283","http://sws.geonames.org/2988507",2988507,48.85341,2.3488
"Alma Data","A paris","fr","France$dParis,","France","no value","Paris,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205283","http://sws.geonames.org/2988507",2988507,48.85341,2.3488
"Alma Data","Á Paris","fr","France$dParis,","France","no value","Paris,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205283","http://sws.geonames.org/2988507",2988507,48.85341,2.3488
"Alma Data","À Paris","fr","France$dParis,","France","no value","Paris,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205283","http://sws.geonames.org/2988507",2988507,48.85341,2.3488
"Alma Data","A Paris ","fr","France$dParis,","France","no value","Paris,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205283","http://sws.geonames.org/2988507",2988507,48.85341,2.3488
"Alma Data","A Rouen","fr","France$dRouen,","France","no value","Rouen,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205659","http://sws.geonames.org/2982652",2982652,49.44313,1.09932
"Alma Data","A Saintes","fr","France$dSaintes,","France","no value","Saintes,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1214010","https://sws.geonames.org/2980340/",2980340,45.74742,-0.63489
"Alma Data","A Sienne","it","Italy$dSiena,","Italy","no value","Siena,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204409","https://sws.geonames.org/6541466",6541466,43.32004,11.33283
"Alma Data","A St.-Pétersbourg","ru","Russia (Federation)$dSaint Petersburg,","Russia (Federation)","no value","Saint Petersburg,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1212867","http://sws.geonames.org/498817",498817,59.93863,30.31413
"Alma Data","A Strasbourg","fr","France$dStrasbourg,","France","no value","Strasbourg,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205765","http://sws.geonames.org/2973783",2973783,48.58392,7.74553
"Alma Data","A Toulon","fr","France$dToulon,","France","no value","Toulon,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1220083","http://www.geonames.org/2972328",2972328,43.12442,5.92836
"Alma Data","A Toulouse","fr","France$dToulouse,","France","no value","Toulouse,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1206080","http://sws.geonames.org/2972315",2972315,43.60426,1.44367
"Alma Data","A Tours","fr","France$dTours,","France","no value","Tours,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1210081","https://sws.geonames.org/6454060",6454060,47.39278,0.68833
"Alma Data","A Trevoux","fr","France$dTrévoux,","France","no value","Trévoux,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1229110","http://www.geonames.org/2971722",2971722,45.94281,4.77143
"Alma Data","A Troyes","fr","France$dTroyes,","France","no value","Troyes,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1212168","http://sws.geonames.org/2971549",2971549,48.30073,4.08524
